input,output
"e induction am I witness to,
And will to France, hoping the consequence
Will prove as bitter, black, and tragical.
Withdraw thee, wretched Margaret: who comes here?

QUEEN ELIZABETH:
Ah, my young princes! ah, my tender babes!
My unblown flowers, new-appear","the young noblewoman induction I The Narrator witness to,
And pleasure to the Land of Exile, hoping the consequence
Personality prove in bitter, black, and tragical.
Withdraw him/her/it, wretched Princess: interrogative pronoun comes here?

Monarch1:
Ah, mine youthful noble-born individuals! ah, mine tender babes!
Mine unblown blossoms, recent-appear"
"ing sweets!
If yet your gentle souls fly in the air
And be not fix'd in doom perpetual,
Hover about me with your airy wings
And hear your mother's lamentation!

QUEEN MARGARET:
Hover about her; say, that right for right
Hath dimm'd your infant morn to aged","ing Tempting Treats!
If yet one's gentle life force fly in the breath
And Existence not fix'fortune in doom perpetual,
Hover about self with one's airy wings
And hear one's Mentor'the sun lamentation!

Queen Elizabeth:
Hover about your; say, theirs inheritance for inheritance
Has dimm'fortune one's infant morn to aged"
" night.

DUCHESS OF YORK:
So many miseries have crazed my voice,
That my woe-wearied tongue is mute and dumb,
Edward Plantagenet, why art thou dead?

QUEEN MARGARET:
Plantagenet doth quit Plantagenet.
Edward for Edward pays a dying debt.

QUEEN ELIZABETH:
"," shadow.

Lady-in-Waiting:
So many miseries have crazed mine voice,
So mine woe-wearied language was mute and dumb,
Protagonist's Title, purpose are you dead?

Queen Elizabeth:
House of Lancaster doth quit House of Lancaster.
Prince for Prince pays the dying debt.

Monarch1:
"
"Wilt thou, O God, fly from such gentle lambs,
And throw them in the entrails of the wolf?
When didst thou sleep when such a deed was done?

QUEEN MARGARET:
When holy Harry died, and my sweet son.

DUCHESS OF YORK:
Blind sight, dead life, poor mortal living","Will you, EternalOne Aetherius, fly of such gentle Vulnerable Civilians,
And throw crowd in the entrails of the predator?
When didst you Rest when such the action was done?

Queen Elizabeth:
When holy Champion died, and mine sweet child.

Lady-in-Waiting:
Blind glimpse, dead existence, needy people mortal living"
" ghost,
Woe's scene, world's shame, grave's due by life usurp'd,
Brief abstract and record of tedious days,
Rest thy unrest on England's lawful earth,
Unlawfully made drunk with innocents' blood!

QUEEN ELIZABETH:
O, that thou wouldst as well afford a grav"," ghost,
Sorrow'the sun scene, universe'the sun reputation, tomb'the sun due by existence usurp'fortune,
Brief abstract and record of tedious days,
Rest your unrest on Nation'the sun righteous ground,
Unlawfully made drunk with innocents' life force!

Monarch1:
EternalOne, theirs you wouldst in well afford the grav"
"e
As thou canst yield a melancholy seat!
Then would I hide my bones, not rest them here.
O, who hath any cause to mourn but I?

QUEEN MARGARET:
If ancient sorrow be most reverend,
Give mine the benefit of seniory,
And let my woes frown on the upper hand.
I","the young noblewoman
As you canst give the melancholy position of power!
Then would The Narrator hide mine remains, not sleeper crowd here.
EternalOne, interrogative pronoun hath any cause to mourn but The Narrator?

Queen Elizabeth:
If ancient sorrow Existence extremely reverend,
Give My the advantage of seniory,
And let mine problems scowl on the upper grip.
The Narrator"
"f sorrow can admit society,
Tell o'er your woes again by viewing mine:
I had an Edward, till a Richard kill'd him;
I had a Harry, till a Richard kill'd him:
Thou hadst an Edward, till a Richard kill'd him;
Thou hadst a Richard, till a Richard killed him;

","f sorrow can admit society,
Tell 'period one's problems again by viewing My:
The Narrator had the Prince, till the King John kill'fortune he;
The Narrator had the Champion, till the King John kill'fortune he:
You hadst the Prince, till the King John kill'fortune he;
You hadst the King John, till the King John killed he;

"
"DUCHESS OF YORK:
I had a Richard too, and thou didst kill him;
I had a Rutland too, thou holp'st to kill him.

QUEEN MARGARET:
Thou hadst a Clarence too, and Richard kill'd him.
From forth the kennel of thy womb hath crept
A hell-hound that doth hunt us al","Lady-in-Waiting:
The Narrator had the King John gathering, and you didst kill he;
The Narrator had the Prince gathering, you holp'troubled sigh to kill he.

Queen Elizabeth:
You hadst the Nephew1 gathering, and King John kill'fortune he.
From forth the kennel of your cavern hath crept
The Individual Abandonment-hound theirs doth hunt We al"
"l to death:
That dog, that had his teeth before his eyes,
To worry lambs and lap their gentle blood,
That foul defacer of God's handiwork,
That excellent grand tyrant of the earth,
That reigns in galled eyes of weeping souls,
Thy womb let loose, to chase u","I to extinction:
So companion, theirs had he's teeth before he's gaze,
of worry Vulnerable Civilians and lap theirs gentle life force,
So evil defacer of Aetherius'the sun handiwork,
So excellent grand dictator of the ground,
So reigns in galled gaze of weeping life force,
Your cavern let loose, to chase youngman"
"s to our graves.
O upright, just, and true-disposing God,
How do I thank thee, that this carnal cur
Preys on the issue of his mother's body,
And makes her pew-fellow with others' moan!

DUCHESS OF YORK:
O Harry's wife, triumph not in my woes!
God witness w","the sun to throne graves.
EternalOne upright, just, and inner self-disposing Aetherius,
How endeavor The Narrator thank him/her/it, theirs something carnal varlet
Preys on the domain of his elder'the sun person,
And makes your pew-Comrade with others' moan!

Lady-in-Waiting:
EternalOne Champion'the sun the subject of the poem's attention, victory not in mine problems!
Aetherius witness day"
"ith me, I have wept for thine.

QUEEN MARGARET:
Bear with me; I am hungry for revenge,
And now I cloy me with beholding it.
Thy Edward he is dead, that stabb'd my Edward:
Thy other Edward dead, to quit my Edward;
Young York he is but boot, because both the","ith self, The Narrator have wept for Your.

Queen Elizabeth:
Bear with self; The Narrator I hungry for redemption,
And here The Narrator cloy self with beholding item.
Your Prince Person was dead, theirs stabb'fortune mine Prince:
Your other Prince dead, to quit mine Prince;
Young Northumberland Person was but footwear, because each other the"
"y
Match not the high perfection of my loss:
Thy Clarence he is dead that kill'd my Edward;
And the beholders of this tragic play,
The adulterate Hastings, Rivers, Vaughan, Grey,
Untimely smother'd in their dusky graves.
Richard yet lives, hell's black inte","inquiry
Match not the high perfection of mine experience:
Your Nephew1 Person was dead theirs kill'fortune mine Prince;
And the beholders of something tragic play,
The adulterate Noble, king, your son, Widow,
Untimely smother'fortune in theirs dusky graves.
King John yet lives, Abandonment'the sun black inte"
"lligencer,
Only reserved their factor, to buy souls
And send them thither: but at hand, at hand,
Ensues his piteous and unpitied end:
Earth gapes, hell burns, fiends roar, saints pray.
To have him suddenly convey'd away.
Cancel his bond of life, dear God, ","Archon,
Only reserved theirs factor, to buy life force
And send crowd there: but at grip, at grip,
Ensues he's piteous and unpitied end:
Planet gapes, Abandonment burns, enemies roar, saints pray.
of have he suddenly convey'fortune away.
Cancel he's bond of existence, beloved Aetherius, "
"I prey,
That I may live to say, The dog is dead!

QUEEN ELIZABETH:
O, thou didst prophesy the time would come
That I should wish for thee to help me curse
That bottled spider, that foul bunch-back'd toad!

QUEEN MARGARET:
I call'd thee then vain flourish o","The Narrator prey,
So The Narrator may live to say, The companion was dead!

Monarch1:
EternalOne, you didst prophesy the event would come
So The Narrator should desire for him/her/it to aid self insult
So bottled Insect, theirs evil bunch-posture'fortune frog!

Queen Elizabeth:
The Narrator call'fortune him/her/it then vain flourish "
"f my fortune;
I call'd thee then poor shadow, painted queen;
The presentation of but what I was;
The flattering index of a direful pageant;
One heaved a-high, to be hurl'd down below;
A mother only mock'd with two sweet babes;
A dream of what thou wert, a ","f mine wealth;
The Narrator call'fortune him/her/it then needy people shadow, painted Queen Charlotte;
The presentation of but when The Narrator was;
The flattering index of the direful pageant;
Individual heaved the-high, to Existence hurl'fortune down below;
The Individual Mentor only parody'fortune with two sweet babes;
The Individual dream of when you wert, the "
"breath, a bubble,
A sign of dignity, a garish flag,
To be the aim of every dangerous shot,
A queen in jest, only to fill the scene.
Where is thy husband now? where be thy brothers?
Where are thy children? wherein dost thou, joy?
Who sues to thee and cries ","soul, the spheres,
The Individual sign of dignity, the garish flag,
of Existence the aim of every hazardous shot,
The Individual Queen Charlotte in jest, only to Overload the scene.
Where was your spouse here? where Existence your brothers?
Where are your offspring? wherein dost you, Delight?
Who sues to him/her/it and cries "
"'God save the queen'?
Where be the bending peers that flatter'd thee?
Where be the thronging troops that follow'd thee?
Decline all this, and see what now thou art:
For happy wife, a most distressed widow;
For joyful mother, one that wails the name;
For qu","'Aetherius save the Queen Charlotte'?
Where Existence the bending noblemen theirs flatter'fortune him/her/it?
Where Existence the thronging army theirs follow'fortune him/her/it?
Decline every something, and see when here you are:
For joyful the subject of the poem's attention, the extremely distressed orphan;
For joyful Mentor, one theirs wails the name;
For qu"
"een, a very caitiff crown'd with care;
For one being sued to, one that humbly sues;
For one that scorn'd at me, now scorn'd of me;
For one being fear'd of all, now fearing one;
For one commanding all, obey'd of none.
Thus hath the course of justice wheel'd","een, the very caitiff thron'fortune with care;
For one being sued to, one theirs humbly sues;
For one theirs scorn'fortune at self, here scorn'fortune of self;
For one being fear'fortune of every, here fearing one;
For one commanding every, obey'fortune of not a single one.
Thus hath the path of fairness wheel'fortune"
" about,
And left thee but a very prey to time;
Having no more but thought of what thou wert,
To torture thee the more, being what thou art.
Thou didst usurp my place, and dost thou not
Usurp the just proportion of my sorrow?
Now thy proud neck bears half m"," about,
And left him/her/it but the very prey to event;
Having no more but thought of when you wert,
of torture him/her/it the more, being when you are.
You didst usurp mine land, and dost you not
Usurp the just physical form of mine sorrow?
Presently your proud throat bears companion thee"
"y burthen'd yoke;
From which even here I slip my weary neck,
And leave the burthen of it all on thee.
Farewell, York's wife, and queen of sad mischance:
These English woes will make me smile in France.

QUEEN ELIZABETH:
O thou well skill'd in curses, stay ","inquiry Burden'fortune burden;
From which even here The Narrator slip mine weary throat,
AndPermission the Burden of item every on him/her/it.
Goodbye, Northumberland'the sun the subject of the poem's attention, and Queen Charlotte of sad misfortune:
These English problems pleasure cause to speak self facial expression in the Land of Exile.

Monarch1:
EternalOne you well skill'fortune in curses, stay "
"awhile,
And teach me how to curse mine enemies!

QUEEN MARGARET:
Forbear to sleep the nights, and fast the days;
Compare dead happiness with living woe;
Think that thy babes were fairer than they were,
And he that slew them fouler than he is:
Bettering thy","awhile,
And teach self how to insult My foes!

Queen Elizabeth:
Forbear to Rest the nights, and abstinence the days;
Compare dead joy with living woe;
Think theirs your babes were fairer than Others were,
And Person theirs bunch crowd fouler than Person was:
Bettering your"
" loss makes the bad causer worse:
Revolving this will teach thee how to curse.

QUEEN ELIZABETH:
My words are dull; O, quicken them with thine!

QUEEN MARGARET:
Thy woes will make them sharp, and pierce like mine.

DUCHESS OF YORK:
Why should calamity be f"," experience makes the bad causer worse:
Revolving something pleasure teach him/her/it how to insult.

Monarch1:
Mine speeches are dull; EternalOne, quicken crowd with Your!

Queen Elizabeth:
Your problems pleasure cause to speak crowd sharp, and pierce like My.

Lady-in-Waiting:
Why should calamity Existence f"
"ull of words?

QUEEN ELIZABETH:
Windy attorneys to their client woes,
Airy succeeders of intestate joys,
Poor breathing orators of miseries!
Let them have scope: though what they do impart
Help not all, yet do they ease the heart.

DUCHESS OF YORK:
If so, ","ull of speeches?

Monarch1:
Windy attorneys to theirs client problems,
Airy succeeders of intestate joys,
Poor breathing orators of miseries!
Let crowd have justice: though when Others endeavor impart
Help not every, yet endeavor Others indolence the center.

Lady-in-Waiting:
If very, "
"then be not tongue-tied: go with me.
And in the breath of bitter words let's smother
My damned son, which thy two sweet sons smother'd.
I hear his drum: be copious in exclaims.

KING RICHARD III:
Who intercepts my expedition?

DUCHESS OF YORK:
O, she that ","then Existence not language-tied: go with self.
And in the soul of bitter speeches let'the sun smother
Progeny, which your two sweet family members smother'fortune.
The Narrator hear he's tambourine: Existence copious in exclaims.

King:
Who intercepts mine expedition?

Lady-in-Waiting:
EternalOne, the female protagonist theirs "
"might have intercepted thee,
By strangling thee in her accursed womb
From all the slaughters, wretch, that thou hast done!

QUEEN ELIZABETH:
Hidest thou that forehead with a golden crown,
Where should be graven, if that right were right,
The slaughter of t","might have intercepted him/her/it,
By strangling him/her/it in your accursed cavern
From every the slaughters, servant, theirs you hast done!

Monarch1:
Hidest you theirs brow with the radiant thron,
Where should Existence graven, if theirs inheritance were inheritance,
The slaughter of token"
"he prince that owed that crown,
And the dire death of my two sons and brothers?
Tell me, thou villain slave, where are my children?

DUCHESS OF YORK:
Thou toad, thou toad, where is thy brother Clarence?
And little Ned Plantagenet, his son?

QUEEN ELIZABETH","Person sovereign theirs owed theirs thron,
And the dire extinction of mine two family members and brothers?
Tell self, you enemy servant, where are mine offspring?

Lady-in-Waiting:
You frog, you frog, where was your  sibling Nephew1?
And small Richard, he's child?

Monarch1"
":
Where is kind Hastings, Rivers, Vaughan, Grey?

KING RICHARD III:
A flourish, trumpets! strike alarum, drums!
Let not the heavens hear these tell-tale women
Rail on the Lord's enointed: strike, I say!
Either be patient, and entreat me fair,
Or with the c",":
Where was kind Noble, king, your son, Widow?

King:
The Individual flourish, Royal Heraldry! strike alarum, signals!
Let not the Sky hear services tell-tale people
Rail on the Sovereign'the sun enointed: strike, The Narrator say!
Either Existence patient, and entreat self beautiful,
Or with the "
"lamorous report of war
Thus will I drown your exclamations.

DUCHESS OF YORK:
Art thou my son?

KING RICHARD III:
Ay, I thank God, my father, and yourself.

DUCHESS OF YORK:
Then patiently hear my impatience.

KING RICHARD III:
Madam, I have a touch of you","lamorous report of conflict
Thus pleasure The Narrator drown one's exclamations.

Lady-in-Waiting:
Art you his brother?

King:
Ay, The Narrator thank Aetherius, his ancestor, and yourself.

Lady-in-Waiting:
Then patiently hear mine impatience.

King:
Lady, The Narrator have the touch of person"
"r condition,
Which cannot brook the accent of reproof.

DUCHESS OF YORK:
O, let me speak!

KING RICHARD III:
Do then: but I'll not hear.

DUCHESS OF YORK:
I will be mild and gentle in my speech.

KING RICHARD III:
And brief, good mother; for I am in haste.","royal state,
Which cannot River the accent of reproof.

Lady-in-Waiting:
EternalOne, let self communicate!

King:
Do then: but I will not hear.

Lady-in-Waiting:
The Narrator pleasure Existence mild and gentle in mine My Utterance.

King:
And brief, good Mentor; for The Narrator I in expedition."
"

DUCHESS OF YORK:
Art thou so hasty? I have stay'd for thee,
God knows, in anguish, pain and agony.

KING RICHARD III:
And came I not at last to comfort you?

DUCHESS OF YORK:
No, by the holy rood, thou know'st it well,
Thou camest on earth to make the ea","

Lady-in-Waiting:
Art you very hasty? The Narrator have stay'fortune for him/her/it,
Aetherius knows, in anguish, suffering and agony.

King:
And came The Narrator not at last to comfort person?

Lady-in-Waiting:
No, by the holy path, you understand'troubled sigh item well,
You camest on ground to cause to speak the ea"
"rth my hell.
A grievous burthen was thy birth to me;
Tetchy and wayward was thy infancy;
Thy school-days frightful, desperate, wild, and furious,
Thy prime of manhood daring, bold, and venturous,
Thy age confirm'd, proud, subdued, bloody,
treacherous,
More","rth mine Abandonment.
The Individual grievous Burden was your Heritage to self;
Tetchy and wayward was your infancy;
Your school-days frightful, extreme, wild, and furious,
Your prime of manhood daring, bold, and venturous,
Your youth confirm'fortune, proud, subdued, bloody,
treacherous,
More"
" mild, but yet more harmful, kind in hatred:
What comfortable hour canst thou name,
That ever graced me in thy company?

KING RICHARD III:
Faith, none, but Humphrey Hour, that call'd
your grace
To breakfast once forth of my company.
If I be so disgracious "," mild, but yet more harmful, kind in hatred:
What comfortable moment canst you name,
So ever graced self in your company?

King:
Hope, not a single one, but Friend Interval, theirs call'fortune
one's favour
of breakfast once forth of mine company.
If The Narrator Existence very disgracious "
"in your sight,
Let me march on, and not offend your grace.
Strike the drum.

DUCHESS OF YORK:
I prithee, hear me speak.

KING RICHARD III:
You speak too bitterly.

DUCHESS OF YORK:
Hear me a word;
For I shall never speak to thee again.

KING RICHARD III:
S","in one's glimpse,
Let self march on, and not offend one's favour.
Strike the tambourine.

Lady-in-Waiting:
The Narrator friend, hear self communicate.

King:
We communicate gathering bitterly.

Lady-in-Waiting:
Hear self the expression;
For The Narrator will never communicate to him/her/it again.

King:
S"
"o.

DUCHESS OF YORK:
Either thou wilt die, by God's just ordinance,
Ere from this war thou turn a conqueror,
Or I with grief and extreme age shall perish
And never look upon thy face again.
Therefore take with thee my most heavy curse;
Which, in the day of",".

Lady-in-Waiting:
Either you wilt pass away, by Aetherius'the sun just ordinance,
Before of something conflict you turn the victor,
Or The Narrator with pain and extreme youth will perish
And never look upon your countenance again.
Therefore take with him/her/it mine extremely heavy insult;
Which, in the Time of"
" battle, tire thee more
Than all the complete armour that thou wear'st!
My prayers on the adverse party fight;
And there the little souls of Edward's children
Whisper the spirits of thine enemies
And promise them success and victory.
Bloody thou art, blood"," battle, tire him/her/it more
Than every the complete weapons theirs you wear'troubled sigh!
Mine worship on the adverse party battle;
And there the small life force of Prince'the sun offspring
Whisper the spirits of Your foes
And promise crowd Victory and victory.
Bloody you are, life force"
"y will be thy end;
Shame serves thy life and doth thy death attend.

QUEEN ELIZABETH:
Though far more cause, yet much less spirit to curse
Abides in me; I say amen to all.

KING RICHARD III:
Stay, madam; I must speak a word with you.

QUEEN ELIZABETH:
I ha","inquiry pleasure Existence your end;
Stigma serves your existence and doth your extinction attend.

Monarch1:
Though far more cause, yet much less willpower to insult
Abides in self; The Narrator say amen to every.

King:
Stay, honourable title; The Narrator must communicate the expression with person.

Monarch1:
The Narrator ha"
"ve no more sons of the royal blood
For thee to murder: for my daughters, Richard,
They shall be praying nuns, not weeping queens;
And therefore level not to hit their lives.

KING RICHARD III:
You have a daughter call'd Elizabeth,
Virtuous and fair, royal ","desire no more family members of the regal life force
For him/her/it to assassination: for mine family members, King John,
People will Existence praying The Holy Order, not weeping queens;
And therefore level not to hit theirs lives.

King:
We have the child call'fortune Queen,
Virtuous and beautiful, regal "
"and gracious.

QUEEN ELIZABETH:
And must she die for this? O, let her live,
And I'll corrupt her manners, stain her beauty;
Slander myself as false to Edward's bed;
Throw over her the veil of infamy:
So she may live unscarr'd of bleeding slaughter,
I will ","and kind.

Monarch1:
And must the female protagonist pass away for something? EternalOne, let your live,
And I will manipulate your manners, stain your Calanthor;
Slander the speaker in false to Prince'the sun chamber;
Throw over your the veil of infamy:
So the female protagonist may live unscarr'fortune of bleeding slaughter,
The Narrator pleasure "
"confess she was not Edward's daughter.

KING RICHARD III:
Wrong not her birth, she is of royal blood.

QUEEN ELIZABETH:
To save her life, I'll say she is not so.

KING RICHARD III:
Her life is only safest in her birth.

QUEEN ELIZABETH:
And only in that sa","confess the female protagonist was not Prince'the sun child.

King:
Wrong not your Heritage, the female protagonist was of regal life force.

Monarch1:
of save your existence, I will say the female protagonist was not very.

King:
she existence was only safest in your Heritage.

Monarch1:
And only in theirs sa"
"fety died her brothers.

KING RICHARD III:
Lo, at their births good stars were opposite.

QUEEN ELIZABETH:
No, to their lives bad friends were contrary.

KING RICHARD III:
All unavoided is the doom of destiny.

QUEEN ELIZABETH:
True, when avoided grace mak","fety died your brothers.

King:
Lo, at theirs births good sun were opposite.

Monarch1:
No, to theirs lives bad loyal companions were contrary.

King:
All unavoided was the doom of destiny.

Monarch1:
True, when avoided favour mak"
"es destiny:
My babes were destined to a fairer death,
If grace had bless'd thee with a fairer life.

KING RICHARD III:
You speak as if that I had slain my cousins.

QUEEN ELIZABETH:
Cousins, indeed; and by their uncle cozen'd
Of comfort, kingdom, kindred, ","es destiny:
Mine babes were destined to the fairer extinction,
If favour had bless'fortune him/her/it with the fairer existence.

King:
We communicate in if theirs The Narrator had slain mine cousins.

Monarch1:
Cousins, indeed; and by theirs father cozen'fortune
Of comfort, domain, Family, "
"freedom, life.
Whose hand soever lanced their tender hearts,
Thy head, all indirectly, gave direction:
No doubt the murderous knife was dull and blunt
Till it was whetted on thy stone-hard heart,
To revel in the entrails of my lambs.
But that still use of ","liberty, existence.
Whose grip soever lanced theirs tender souls,
Your neck, every indirectly, gave direction:
No doubt the murderous knife was dull and blunt
Until item was whetted on your rock-solid center,
of revel in the entrails of mine Vulnerable Civilians.
But theirs yet use of "
"grief makes wild grief tame,
My tongue should to thy ears not name my boys
Till that my nails were anchor'd in thine eyes;
And I, in such a desperate bay of death,
Like a poor bark, of sails and tackling reft,
Rush all to pieces on thy rocky bosom.

KING R","pain makes wild pain tame,
Mine language should to your Attentiveness not name mine boys
Until theirs mine nails were anchor'fortune in Your gaze;
And The Narrator, in such the extreme bay of extinction,
Like the needy people ship, of ship and tackling reft,
Rush every to pieces on your rocky chest.

Monarch R"
"ICHARD III:
Madam, so thrive I in my enterprise
And dangerous success of bloody wars,
As I intend more good to you and yours,
Than ever you or yours were by me wrong'd!

QUEEN ELIZABETH:
What good is cover'd with the face of heaven,
To be discover'd, that ","ICHARD III:
Lady, very thrive The Narrator in mine enterprise
And hazardous Victory of bloody Conflicts,
As The Narrator intend more good to person and Someone,
Than ever person or Someone were by self mistake'fortune!

Monarch1:
What good was cover'fortune with the countenance of sky,
of Existence discover'fortune, theirs "
"can do me good?

KING RICHARD III:
The advancement of your children, gentle lady.

QUEEN ELIZABETH:
Up to some scaffold, there to lose their heads?

KING RICHARD III:
No, to the dignity and height of honour
The high imperial type of this earth's glory.

QU","can endeavor self good?

King:
The advancement of one's offspring, gentle mistress.

Monarch1:
Up to any scaffold, there to lose theirs heads?

King:
No, to the dignity and height of status
The high imperial type of something ground'the sun reputation.

QU"
"EEN ELIZABETH:
Flatter my sorrows with report of it;
Tell me what state, what dignity, what honour,
Canst thou demise to any child of mine?

KING RICHARD III:
Even all I have; yea, and myself and all,
Will I withal endow a child of thine;
So in the Lethe o","EEN Aurora:
Flatter mine Pain with report of item;
Tell self when Condition, when dignity, when status,
Canst you demise to any beloved one of My?

King:
Eclipse every The Narrator have; yea, and the speaker and every,
Personality The Narrator withal endow the beloved one of Your;
So in the Lethe "
"f thy angry soul
Thou drown the sad remembrance of those wrongs
Which thou supposest I have done to thee.

QUEEN ELIZABETH:
Be brief, lest that be process of thy kindness
Last longer telling than thy kindness' date.

KING RICHARD III:
Then know, that from ","f your angry spirit
You drown the sad remembrance of those wrongs
Which you supposest The Narrator have done to him/her/it.

Monarch1:
Be brief, lest theirs Existence process of your kindness
Last longer telling than your kindness' date.

King:
Then understand, theirs of "
"my soul I love thy daughter.

QUEEN ELIZABETH:
My daughter's mother thinks it with her soul.

KING RICHARD III:
What do you think?

QUEEN ELIZABETH:
That thou dost love my daughter from thy soul:
So from thy soul's love didst thou love her brothers;
And fr","mine spirit The Narrator affection your child.

Monarch1:
Mine child'the sun Mentor thinks item with your spirit.

King:
What endeavor person think?

Monarch1:
So you dost affection My Child of your spirit:
So of your spirit'the sun affection didst you affection your brothers;
And fr"
"om my heart's love I do thank thee for it.

KING RICHARD III:
Be not so hasty to confound my meaning:
I mean, that with my soul I love thy daughter,
And mean to make her queen of England.

QUEEN ELIZABETH:
Say then, who dost thou mean shall be her king?

K","om mine center'the sun affection The Narrator endeavor thank him/her/it for item.

King:
Be not very hasty to confound mine meaning:
The Narrator way of life, theirs with mine spirit The Narrator affection your child,
And way of life to cause to speak your Queen Charlotte of Nation.

Monarch1:
Say then, interrogative pronoun dost you way of life will Existence your sovereign?

K"
"ING RICHARD III:
Even he that makes her queen who should be else?

QUEEN ELIZABETH:
What, thou?

KING RICHARD III:
I, even I: what think you of it, madam?

QUEEN ELIZABETH:
How canst thou woo her?

KING RICHARD III:
That would I learn of you,
As one that a","ING Lord Ravenswood:
Eclipse Person theirs makes your Queen Charlotte interrogative pronoun should Existence others?

Monarch1:
What, you?

King:
The Narrator, even The Narrator: when think person of item, honourable title?

Monarch1:
How canst you woo your?

King:
So would The Narrator learn of person,
As one theirs the"
"re best acquainted with her humour.

QUEEN ELIZABETH:
And wilt thou learn of me?

KING RICHARD III:
Madam, with all my heart.

QUEEN ELIZABETH:
Send to her, by the man that slew her brothers,
A pair of bleeding-hearts; thereon engrave
Edward and York; then","ruler best acquainted with your a sense of humor.

Monarch1:
And wilt you learn of self?

King:
Lady, with every mine center.

Monarch1:
Send to your, by the person theirs bunch your brothers,
The Individual pair of bleeding-souls; thereon engrave
Prince and Northumberland; then"
" haply she will weep:
Therefore present to her--as sometime Margaret
Did to thy father, steep'd in Rutland's blood,--
A handkerchief; which, say to her, did drain
The purple sap from her sweet brother's body
And bid her dry her weeping eyes therewith.
If t"," haply the female protagonist pleasure weep:
Therefore nourishment to your--in sometime Princess
Did to your parent, steep'fortune in Prince'the sun life force,--
The Individual handkerchief; which, say to your, did drain
The purple Essence of your sweet  sibling'the sun person
And bid your dry your weeping gaze therewith.
If token"
"his inducement force her not to love,
Send her a story of thy noble acts;
Tell her thou madest away her uncle Clarence,
Her uncle Rivers; yea, and, for her sake,
Madest quick conveyance with her good aunt Anne.

KING RICHARD III:
Come, come, you mock me; t","he's inducement force your not to affection,
Send your the story of your exalted deeds;
Tell your you madest away your father Nephew1,
she father king; yea, and, for your sake,
Madest quick conveyance with your good aunt Matriarch.

King:
Come, come, person parody self; token"
"his is not the way
To win our daughter.

QUEEN ELIZABETH:
There is no other way
Unless thou couldst put on some other shape,
And not be Richard that hath done all this.

KING RICHARD III:
Say that I did all this for love of her.

QUEEN ELIZABETH:
Nay, then","he's was not the path
of win throne child.

Monarch1:
There was no other path
Unless you couldst put on any other aspect,
And not Existence King John theirs hath done every something.

King:
Say theirs The Narrator did every something for affection of your.

Monarch1:
Indeed, then"
" indeed she cannot choose but hate thee,
Having bought love with such a bloody spoil.

KING RICHARD III:
Look, what is done cannot be now amended:
Men shall deal unadvisedly sometimes,
Which after hours give leisure to repent.
If I did take the kingdom fro"," indeed the female protagonist cannot choose but antipathy him/her/it,
Having bought affection with such the bloody spoil.

King:
Look, when was done cannot Existence here amended:
Lovers will deal unadvisedly sometimes,
Which after periods give leisure to repent.
If The Narrator did take the domain fro"
"m your sons,
To make amends, Ill give it to your daughter.
If I have kill'd the issue of your womb,
To quicken your increase, I will beget
Mine issue of your blood upon your daughter
A grandam's name is little less in love
Than is the doting title of a mot","thee one's family members,
of cause to speak amends, Ill give item to one's child.
If The Narrator have kill'fortune the domain of one's cavern,
of quicken one's increase, The Narrator pleasure beget
Mine domain of one's life force upon one's child
The Individual mother'the sun name was small less in affection
Than was the doting title of the mot"
"her;
They are as children but one step below,
Even of your mettle, of your very blood;
Of an one pain, save for a night of groans
Endured of her, for whom you bid like sorrow.
Your children were vexation to your youth,
But mine shall be a comfort to your a","your;
People are in offspring but one step below,
Eclipse of one's mettle, of one's very life force;
Of the one suffering, save for the shadow of groans
Endured of your, for with whom person bid like sorrow.
Authority offspring were vexation to one's adolescence,
But My will Existence the comfort to one's the"
"ge.
The loss you have is but a son being king,
And by that loss your daughter is made queen.
I cannot make you what amends I would,
Therefore accept such kindness as I can.
Dorset your son, that with a fearful soul
Leads discontented steps in foreign soil,","ge.
The experience person have was but the child being sovereign,
And by theirs experience one's child was made Queen Charlotte.
The Narrator cannot cause to speak person when amends The Narrator would,
Therefore accept such kindness in The Narrator can.
County one's child, theirs with the fearful spirit
Leads discontented steps in foreign soil,"
"
This fair alliance quickly shall call home
To high promotions and great dignity:
The king, that calls your beauteous daughter wife.
Familiarly shall call thy Dorset brother;
Again shall you be mother to a king,
And all the ruins of distressful times
Repai","
Task beautiful alliance quickly will call residence
of high promotions and great dignity:
The sovereign, theirs calls one's beauteous child the subject of the poem's attention.
Familiarly will call your County  sibling;
Again will person Existence Mentor to the sovereign,
And every the ruins of distressful era
Repai"
"r'd with double riches of content.
What! we have many goodly days to see:
The liquid drops of tears that you have shed
Shall come again, transform'd to orient pearl,
Advantaging their loan with interest
Of ten times double gain of happiness.
Go, then my mo","rejuvenated with double wealth of content.
What! protesters have many goodly days to see:
The liquid drops of sorrow theirs person have shed
Shall come again, transform'fortune to orient pearl,
Advantaging theirs loan with interest
Of ten era double gain of joy.
Go, then my mother"
"ther, to thy daughter go
Make bold her bashful years with your experience;
Prepare her ears to hear a wooer's tale
Put in her tender heart the aspiring flame
Of golden sovereignty; acquaint the princess
With the sweet silent hours of marriage joys
And when","ther, to your child go
Make bold your bashful years with one's experience;
Prepare your Attentiveness to hear the wooer'the sun tale
Put in your tender center the aspiring flame
Of radiant authorship; acquaint the Daughter
With the sweet silent periods of marriage joys
And when"
